1,"Side Dishes,Main Dishes",,,5,Baked-spaghetti-squash-with-garlic-and-butter-315049,http://i.yummly.com/Baked-spaghetti-squash-with-garlic-and-butter-315049-345401.s.jpg,Steamy Kitchen,,"salt,butter,spaghetti squash,parsley,parmesan cheese,garlic",Baked Spaghetti Squash with Garlic and Butter
2,Condiments and Sauces,,,5,Avocado-cream-pasta-sauce-recipe-306039,http://i.yummly.com/Avocado-cream-pasta-sauce-recipe-306039-269370.s.jpg,Food Republic,,"pepper,olive oil,wheat,garlic,parsley,avocado,lemon,salt",Avocado Cream Pasta Sauce Recipe
3,Main Dishes,,,5,Honey-garlic-chicken-slow-cooker-310273,http://i.yummly.com/Honey-garlic-chicken-slow-cooker-310273-274726.s.jpg,A Year of Slow Cooking,,"ketchup,garlic cloves,boneless skinless chicken thighs,soy sauce,honey,dried basil",Honey Garlic Chicken Slow Cooker
4,,,,5,Crispy-roasted-chickpeas-_garbanzo-beans_-315057,http://i.yummly.com/Crispy-roasted-chickpeas-_garbanzo-beans_-315057-345480.s.jpg,Steamy Kitchen,,"garbanzo beans,olive oil,salt,spice",Crispy Roasted Chickpeas (Garbanzo Beans)
5,,,,5,Avocado-creme-brulee-recipe-306723,http://i.yummly.com/Avocado-creme-brulee-recipe-306723-270001.s.jpg,Food Republic,,"sweetened condensed milk,hass avocados,fresh lemon juice,sugar",Avocado Crème Brûlée Recipe
6,,,,5,Bacon-chocolate-chip-cookies-306282,http://i.yummly.com/Bacon-chocolate-chip-cookies-306282-269635.s.jpg,Food Republic,,"egg,butter,chocolate,bacon",Bacon Chocolate Chip Cookies
7,,,,5,Easy-avocado-fries-recipe-306109,http://i.yummly.com/Easy-avocado-fries-recipe-306109-269439.s.jpg,Food Republic,,"kosher salt,all purpose flour,avocados,panko breadcrumbs,oil,large eggs",Easy Avocado Fries Recipe
8,,,,5,Sweet-avocado-ice-pops-recipe-306936,http://i.yummly.com/Sweet-avocado-ice-pops-recipe-306936-270672.s.jpg,Food Republic,,"sugar,water,lime juice,avocados,salt",Sweet Avocado Ice Pops Recipe
9,,,,5,Artichoke-with-baked-brie-sauce-recipe-306088,http://i.yummly.com/Artichoke-with-baked-brie-sauce-recipe-306088-269418.s.jpg,Food Republic,,"artichokes,sliced almonds,heavy cream,freshly grated parmesan,brie,fresh thyme leaves,egg yolk",Artichoke With Baked Brie Sauce Recipe
10,,,,5,Grilled-soft-cheese_-thyme-honey-and-fresh-figs-308920,http://i.yummly.com/Grilled-soft-cheese_-thyme-honey-and-fresh-figs-308920-273094.s.jpg,Not Without Salt,,"wheel,honey,thyme,figs","Grilled Soft Cheese, Thyme Honey and Fresh Figs"
11,,,,5,Gluten-free-chocolate-brownies-310689,http://i.yummly.com/Gluten-free-chocolate-brownies-310689-275993.s.jpg,David Lebovitz,,"butter salted,nuts,sugar,unsweetened cocoa powder,semisweet chocolate,starch,large eggs",Gluten-Free Chocolate Brownies
12,,,,5,Party-grub_-homemade-peanut-butter-cups-with-bourbon-305895,http://i.yummly.com/Party-grub_-homemade-peanut-butter-cups-with-bourbon-305895-269241.s.jpg,Food Republic,,"milk,salt,creamy peanut butter,butter,bourbon,confectioners sugar,vegetable shortening",Party Grub: Homemade Peanut Butter Cups With Bourbon
13,,,,5,Beer-can-chicken-recipe-306044,http://i.yummly.com/Beer-can-chicken-recipe-306044-269375.s.jpg,Food Republic,,"chicken,thyme,olive oil,beer",Beer Can Chicken Recipe
14,,,,5,Coconut-snowballs-308501,http://i.yummly.com/Coconut-snowballs-308501-272510.s.jpg,The Kitchn,,"shredded coconut,sea salt,maple syrup,vanilla extract,coconut oil,ground cinnamon,unsweetened coconut milk",Coconut Snowballs
15,Desserts,,Christmas,5,Chocolate-puddle-cookies-308814,http://i.yummly.com/Chocolate-puddle-cookies-308814-272988.s.jpg,101 Cookbooks,,"large egg whites,powdered sugar,walnut halves,salt,vanilla extract,unsweetened cocoa powder",Chocolate Puddle Cookies
16,,,,4,Slow-Cooker-Bacon-Jam-Martha-Stewart-193218,http://i.yummly.com/Slow-Cooker-Bacon-Jam-Martha-Stewart-193218-106851.s.png,Martha Stewart,14400,"bacon,coffee,garlic cloves,dark brown sugar,yellow onions,maple syrup,cider vinegar",Slow-Cooker Bacon Jam
17,,,,5,Red-velvet-pancakes-recipe-306358,http://i.yummly.com/Red-velvet-pancakes-recipe-306358-269702.s.jpg,Food Republic,,"unsweetened cocoa powder,baking soda,butter,buttermilk,baking powder,all purpose flour,salt,sugar,red food coloring,egg,pure vanilla extract,sour cream",Red Velvet Pancakes Recipe
18,,,,5,Spicy-candied-bacon-recipe-306421,http://i.yummly.com/Spicy-candied-bacon-recipe-306421-269755.s.jpg,Food Republic,,"dark brown sugar,bacon,cayenne pepper,maple syrup,bourbon",Spicy Candied Bacon Recipe
19,Breakfast and Brunch,,,4,Bacon_-Egg_-and-Toast-Cups-Martha-Stewart-193317,http://i.yummly.com/Bacon_-Egg_-and-Toast-Cups-Martha-Stewart-193317-106990.s.png,Martha Stewart,2100,"coarse salt,sandwich bread,unsalted butter,eggs,ground pepper,bacon","Bacon, Egg, and Toast Cups"
20,Main Dishes,Mexican,,5,Black-Bean-and-Guac-Burritos-Naturally-Ella-46521,http://i.yummly.com/Black-Bean-and-Guac-Burritos-Naturally-Ella-46521-10284.s.png,Naturally Ella,1500,"brown rice,flour tortilla,jack cheese,black beans,lettuce",Black Bean and Guac Burritos
21,Main Dishes,,,5,Parmesan-crusted-tilapia-348317,http://i.yummly.com/Parmesan-crusted-tilapia-348317-312949.s.jpg,Every Day with Rachael Ray,,"paprika,cheese,lemon,flat-leaf parsley,tilapia fillets",Parmesan-Crusted Tilapia
22,,,,5,Garlic-butter-roasted-mushrooms-305440,http://i.yummly.com/Garlic-butter-roasted-mushrooms-305440-269077.s.jpg,Smitten Kitchen,,"mushrooms,flat-leaf parsley,large garlic cloves,unsalted butter,capers,fresh lemon juice,vegetable oil",Garlic Butter Roasted Mushrooms
23,,,,5,Chipotle-popcorn-chicken-recipe-306454,http://i.yummly.com/Chipotle-popcorn-chicken-recipe-306454-269784.s.jpg,Food Republic,,"chicken breasts,cilantro,sauce,pepper,buttermilk,salt,flour",Chipotle Popcorn Chicken Recipe
24,,,,5,Maple-cardamom-glazed-salmon-307411,http://i.yummly.com/Maple-cardamom-glazed-salmon-307411-271188.s.jpg,Food52,,"salmon filets,pepper,ground cardamom,cayenne pepper,maple syrup,salt,paprika",Maple-Cardamom Glazed Salmon
25,"Beverages,Breakfast and Brunch",,,5,Peanut-butter-banana-smoothie-344558,http://i.yummly.com/Peanut-butter-banana-smoothie-344558-303411.s.jpg,Joy the Baker,,"seeds,natural peanut butter,banana,grated nutmeg,almond milk,ground cinnamon",Peanut Butter Banana Smoothie
26,,,,5,Cream-cheese-cookies-307484,http://i.yummly.com/Cream-cheese-cookies-307484-271261.s.jpg,Food52,,"cream cheese, softened,unsalted butter,salt,sugar,all purpose flour",Cream Cheese Cookies
27,,,,5,How-to-make-caramel-apple-shots-306375,http://i.yummly.com/How-to-make-caramel-apple-shots-306375-269716.s.jpg,Food Republic,,"gelatin,sugar,granny smith apples,water,lemon juice,coconut milk,schnapps,yellow food coloring,chocolate",How to Make Caramel Apple Shots
28,Salads,,,5,Black-Bean-Salad-with-Corn_-Red-Peppers_-Avocado-_-Lime-Cilantro-Vinaigrette-Once-Upon-A-Chef-200014,http://i.yummly.com/Black-Bean-Salad-with-Corn_-Red-Peppers_-Avocado-_-Lime-Cilantro-Vinaigrette-Once-Upon-A-Chef-200014-39853.s.png,Once Upon A Chef,,"cayenne pepper,garlic,ears,lime zest,hass avocados,chopped fresh cilantro,fresh lime juice,shallots,extra virgin olive oil,sugar,red bell peppers,salt,black beans","Black Bean Salad with Corn, Red Peppers, Avocado and Lime-Cilantro Vinaigrette"
29,Lunch and Snacks,,,5,Turkey-wrap-with-cucumber-cream-cheese-348480,http://i.yummly.com/Turkey-wrap-with-cucumber-cream-cheese-348480-313120.s.jpg,Every Day with Rachael Ray,,"cucumber,cream cheese,flour tortillas,smoked turkey breast",Turkey Wrap with Cucumber Cream Cheese
30,Beverages,,,5,Blood-orange-margaritas-335982,http://i.yummly.com/Blood-orange-margaritas-335982-298752.s.jpg,Smitten Kitchen,,"garnish,lime juice,juice,white,lime,triple sec",Blood Orange Margaritas
